#NAME SDSSID RA DEC R_PET R_PET_ERR I_MOD I_MOD_ERR G_MOD G_MOD_ERR N_FIRST FIRST_TOTINTFLUX N_NVSS NVSS_TOTINTFLUX Z QOP ZSOURCE OIII_SN EW_OIII VISCLASS BESTCLASS HI_COMP ZSOURCE_TARGET DISAGREE_GAMA NAME RA_deg DEC_deg W1 W1err W2 W2err W3 W3err W4 W4err
J000257.17-002447.2 588015508732838020 0.73824 -0.41313 19.406 0.073 18.862 0.018 20.324 0.030 1 151.27 1 178.400 0.52246 5 SDSS 3.15 2.35 NA LERG 0 -1 -1 J000257.17-002447.2 0.738240 -0.413130 14.389 0.030 13.714 0.037 11.189 0.162 8.422 0.000
J000258.59+000831.2 588015509269708809 0.74413 0.14200 16.634 0.006 16.190 0.005 17.194 0.005 1 1.10 0 -99.000 0.08973 4 SDSS 58.70 12.10 NA SF 0 -1 -1 J000258.59+000831.2 0.744130 0.142000 13.477 0.029 12.971 0.029 9.237 0.040 6.840 0.089
J000318.21+004844.3 587731187278020738 0.82588 0.81231 17.455 0.016 17.042 0.010 18.274 0.012 1 3.71 1 3.900 0.13889 3 SDSS 16.70 8.50 NA HERG 0 -1 -1 J000318.21+004844.3 0.825880 0.812310 14.079 0.028 13.438 0.034 9.557 0.051 6.923 0.124
J000325.22-004355.4 588015508195967551 0.85512 -0.73206 20.141 0.099 19.147 0.028 21.000 0.066 1 6.62 1 6.900 0.57866 4 SDSS -1.33 -0.83 NA LERG 0 -1 -1 J000325.22-004355.4 0.855120 -0.732060 14.958 0.037 14.723 0.067 12.319 0.462 8.804 0.000
J000330.70+002756.7 588015509806645367 0.87795 0.46578 17.023 0.014 16.480 0.006 18.246 0.011 5 30.90 1 39.400 0.19203 5 SDSS 3.75 0.81 NA LERG 0 -1 -1 J000330.70+002756.7 0.877950 0.465780 13.620 0.026 13.315 0.034 11.877 0.329 8.606 0.000
J000335.01-011114.2 588015507659161671 0.89588 -1.18730 17.077 0.029 16.720 0.007 18.580 0.018 1 1.62 0 -99.000 0.19433 5 SDSS 2.97 0.93 NA LERG 0 -1 -1 J000335.01-011114.2 0.895880 -1.187300 14.037 0.029 13.756 0.037 12.211 0.000 8.427 0.000
J000351.82-010141.9 587731185130602701 0.96595 -1.02831 18.042 0.029 17.382 0.014 19.303 0.030 1 12.31 1 13.000 0.26891 4 SDSS 70.70 32.30 NA HERG 0 -1 -1 J000351.82-010141.9 0.965950 -1.028310 14.572 0.031 14.196 0.051 11.910 0.316 8.164 0.000
J000400.86+001717.9 587731186741215419 1.00358 0.28832 18.995 0.134 18.401 0.023 20.579 0.063 1 9.39 1 12.800 0.33557 4 SDSS 7.29 4.59 NA LERG 0 -1 -1 J000400.86+001717.9 1.003580 0.288320 14.848 0.034 14.565 0.064 11.777 0.000 8.387 0.000
J000403.21+003009.7 588015509806710889 1.01341 0.50271 16.993 0.016 16.512 0.007 17.487 0.008 1 0.95 0 -99.000 0.08452 4 SDSS 9.38 2.62 NA SF 0 -1 -1 J000403.21+003009.7 1.013410 0.502710 13.669 0.025 13.362 0.031 9.208 0.034 7.116 0.110
J000442.19+000023.3 588015509269905411 1.17579 0.00648 18.899 0.017 19.018 0.017 19.132 0.012 1 3.47 1 6.834 1.00721 4 SDSS .. .. AeB AeB 0 -1 -1 J000442.19+000023.3 1.175790 0.006480 14.965 0.036 13.796 0.039 11.212 0.162 8.299 0.000
J000444.53+004250.1 587731187278151971 1.18557 0.71393 19.226 0.078 18.629 0.021 21.081 0.066 1 0.63 0 -99.000 0.36032 5 SDSS 1.33 0.28 NA LERG 0 -1 -1 J000444.53+004250.1 1.185570 0.713930 15.136 0.041 15.058 0.092 12.585 0.000 8.863 0.000
J000451.93+003449.8 588015509806776539 1.21637 0.58052 19.233 0.055 18.788 0.026 20.494 0.052 2 30.78 1 46.284 0.32662 4 SDSS 13.60 6.30 NA HERG 0 -1 -1 J000451.93+003449.8 1.216370 0.580520 15.241 0.042 14.986 0.083 11.690 0.266 8.026 0.000
J000508.83+003300.9 588015509806776550 1.28683 0.55025 18.341 0.042 17.682 0.016 20.080 0.054 1 4.87 1 11.600 0.31722 5 SDSS 0.57 0.11 NA LERG 0 -1 -1 J000508.83+003300.9 1.286830 0.550250 14.399 0.030 14.124 0.043 11.811 0.279 8.945 0.000
J000608.04-010700.7 588015507659423857 1.53351 -1.11686 19.184 0.022 19.174 0.020 19.283 0.015 3 84.99 2 120.800 0.94931 4 SDSS .. .. AeB AeB 0 -1 -1 J000608.04-010700.7 1.533510 -1.116860 15.318 0.041 14.033 0.045 11.363 0.170 8.224 0.000
